sets,artist,venue.x,month,day,year,tour,song_num,album,city,date1,city.y,capacity,once,five,city1,lon,lat,state,showavgo,totalavgo,venue.y,totalavgo <- avgoverlap
Cousins,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,1,Contra,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Oxford Comma,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,2,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
One (Blake's Got a New Face),Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,3,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Ice Cream Piano,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,4,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Classical,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,5,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Connect,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,6,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Unbelievers,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,7,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Cape Cod Kwassa Kwassa,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,8,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
This Life,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,9,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Sunflower,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,10,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Sympathy,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,11,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
The Surfer,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,12,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Horchata,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,13,Contra,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Bambina,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,14,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Capricorn,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,15,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Gen-X Cops,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,16,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Diane Young,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,17,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
A-Punk,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,18,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Prep-School Gangsters,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,19,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Mary Boone,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,20,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Hannah Hunt,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,21,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Harmony Hall,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,22,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Hope,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,23,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Worship You,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,39,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Ya Hey,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,40,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Hold You Now,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,1,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Holiday,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,2,Contra,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Boston (Ladies of Cambridge),Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,3,Other,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Ice Cream Piano,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,4,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Classical,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,5,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Connect,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,6,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
White Sky,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,7,Contra,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Step,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,8,Modern Vampires of the City,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
This Life,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,9,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Sunflower,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,10,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Sympathy,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,11,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
New Dorp. New York,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,12,Other,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Pravda,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,13,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Campus,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,14,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Oxford Comma,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,15,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Capricorn,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,16,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Gen-X Cops,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,17,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Diane Young,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,18,Modern Vampires of the City,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Cousins,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,19,Contra,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
A-Punk,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,20,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Prep-School Gangsters,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,21,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Mary Boone,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,22,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Unbearably White,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,23,Father of the Bride,Paris,Dec 13,Paris,9000,0,1,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Harmony Hall,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,24,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Hope,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,25,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
The Kids Don't Stand a Chance,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,32,Vampire Weekend,Paris,Dec 13,Paris,9000,0,1,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Walcott,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,39,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56
Mansard Roof,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,1,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Holiday,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,2,Contra,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Bryn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,3,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,4,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,5,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,6,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Unbelievers,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,7,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Step,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,8,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,9,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Sunflower,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,10,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,11,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
The Surfer,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,12,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
California English,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,13,Contra,London,Dec 11,London 4,4921,1,1,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,14,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,15,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Capricorn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,16,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Gen-X Cops,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,17,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Diane Young,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,18,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Cousins,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,19,Contra,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
A-Punk,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,20,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Cocaine Cowboys,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,21,Other,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Mary Boone,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,22,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Hannah Hunt,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,23,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Harmony Hall,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,24,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Hope,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,25,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Walcott,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,37,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56
Oxford Comma,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,1,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Campus,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,2,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Boston (Ladies of Cambridge),Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,3,Other,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,4,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,5,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,6,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Cape Cod Kwassa Kwassa,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,7,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
White Sky,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,8,Contra,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,9,Father of the Bride,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,10,Father of the Bride,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
New Dorp. New York,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,11,Other,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Pravda,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,12,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
How Long?,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,13,Father of the Bride,London,Dec 10,London 3,4921,0,1,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Capricorn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,14,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Gen-X Cops,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,15,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Diane Young,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,16,Modern Vampires of the City,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
A-Punk,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,17,Vampire Weekend,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Prep-School Gangsters,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,18,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Obvious Bicycle,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,19,Modern Vampires of the City,London,Dec 10,London 3,4921,0,1,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Mary Boone,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,20,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Harmony Hall,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,21,Father of the Bride,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Hope,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,22,Only God Was Above Us,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Worship You,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,36,Modern Vampires of the City,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Ya Hey,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,37,Modern Vampires of the City,London,Dec 10,London 3,4921,0,0,London,-0.1149344,51.4651626,NA,0.53,0.56,"O2 Academy Brixton, London, England",0.56
Cape Cod Kwassa Kwassa,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,1,Vampire Weekend,Glasgow,Dec 8,Glasgow,14300,0,0,Glasgow,-4.285587,55.8596207,NA,0.61,0.56,"The OVO Hydro, Glasgow, Scotland",0.56
Holiday,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,2,Contra,Glasgow,Dec 8,Glasgow,14300,0,0,Glasgow,-4.285587,55.8596207,NA,0.61,0.56,"The OVO Hydro, Glasgow, Scotland",0.56
