sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
Prep-School Gangsters,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,22,43,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Mary Boone,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,23,41,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Hannah Hunt,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,24,29,Modern Vampires of the City,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Harmony Hall,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,25,55,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Hope,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,26,42,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Walcott,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,39,10,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Ice Cream Piano,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,1,40,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Classical,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,2,37,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Unbelievers,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,3,25,Modern Vampires of the City,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Step,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,4,26,Modern Vampires of the City,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
This Life,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,5,57,Father of the Bride,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Sympathy,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,6,64,Father of the Bride,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Capricorn,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,7,36,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Diane Young,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,8,27,Modern Vampires of the City,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Cousins,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,9,19,Contra,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
A-Punk,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,10,3,Vampire Weekend,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Campus,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,11,6,Vampire Weekend,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Oxford Comma,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,12,2,Vampire Weekend,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Harmony Hall,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,13,55,Father of the Bride,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Walcott,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,15,10,Vampire Weekend,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Mansard Roof,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,1,1,Vampire Weekend,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Holiday,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,2,15,Contra,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Ice Cream Piano,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,3,40,Only God Was Above Us,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Classical,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,4,37,Only God Was Above Us,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Connect,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,5,38,Only God Was Above Us,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Unbelievers,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,6,25,Modern Vampires of the City,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Step,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,7,26,Modern Vampires of the City,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
This Life,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,8,57,Father of the Bride,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Sympathy,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,9,64,Father of the Bride,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
New Dorp. New York,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,10,53,Other,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Capricorn,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,11,36,Only God Was Above Us,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
Diane Young,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,Iron Blossom Music Festival 2025,12,27,Modern Vampires of the City,Richmond,2025-09-20,Richmond 20,85,Richmond,Iron Blossom Music Festival 2025: 2025-09-20
