sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
This Life,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,15,57,Father of the Bride,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Sympathy,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,16,64,Father of the Bride,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Capricorn,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,17,36,Only God Was Above Us,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Gen-X Cops,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,18,39,Only God Was Above Us,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Diane Young,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,19,27,Modern Vampires of the City,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Cousins,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,20,19,Contra,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
A-Punk,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,21,3,Vampire Weekend,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Mary Boone,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,22,41,Only God Was Above Us,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Harmony Hall,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,23,55,Father of the Bride,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Walcott,Vampire Weekend,"Golden Gate Park, San Francisco, CA, USA",Aug,9,2025,Only God Was Above Us,Outside Lands Music & Arts Festival 2025,30,10,Vampire Weekend,San Francisco,2025-08-09,San Francisco 9,73,San Francisco,Outside Lands Music & Arts Festival 2025: 2025-08-09
Mansard Roof,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,1,1,Vampire Weekend,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Holiday,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,2,15,Contra,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Ice Cream Piano,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,3,40,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Classical,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,4,37,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Connect,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,5,38,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Unbelievers,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,6,25,Modern Vampires of the City,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Step,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,7,26,Modern Vampires of the City,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
This Life,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,8,57,Father of the Bride,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Sympathy,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,9,64,Father of the Bride,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
New Dorp. New York,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,10,53,Other,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Capricorn,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,11,36,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Gen-X Cops,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,12,39,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Diane Young,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,13,27,Modern Vampires of the City,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
A-Punk,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,14,3,Vampire Weekend,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Oxford Comma,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,15,2,Vampire Weekend,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Mary Boone,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,16,41,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Harmony Hall,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,17,55,Father of the Bride,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Hope,Vampire Weekend,"Naeba Ski-jou, Yuzawa, Japan",Jul,27,2025,Only God Was Above Us,FUJI ROCK FESTIVAL '25,18,42,Only God Was Above Us,Yuzawa,2025-07-27,Yuzawa 27,72,Yuzawa,FUJI ROCK FESTIVAL '25: 2025-07-27
Hold You Now,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,1,54,Father of the Bride,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Cape Cod Kwassa Kwassa,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,2,4,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
One (Blake's Got a New Face),Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,3,8,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Ice Cream Piano,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Classical,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Connect,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
White Sky,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,7,14,Contra,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Step,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,8,26,Modern Vampires of the City,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
This Life,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Sunflower,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,10,65,Father of the Bride,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Sympathy,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,11,64,Father of the Bride,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Everlasting Arms,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,12,30,Modern Vampires of the City,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
The Surfer,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,13,45,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Capricorn,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,14,36,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Gen-X Cops,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,15,39,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Diane Young,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,16,27,Modern Vampires of the City,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Cousins,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,17,19,Contra,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
A-Punk,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,18,3,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Campus,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,19,6,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Oxford Comma,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,20,2,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Mary Boone,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,21,41,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Harmony Hall,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,22,55,Father of the Bride,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Hope,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,23,42,Only God Was Above Us,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Walcott,Vampire Weekend,"FPL Solar Amphitheater at Bayfront Park, Miami, FL, USA",Jun,13,2025,Only God Was Above Us,VW Show,33,10,Vampire Weekend,Miami,2025-06-13,Miami 13,71,Miami,Miami: 2025-06-13
Oxford Comma,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,1,2,Vampire Weekend,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Holiday,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,2,15,Contra,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Bryn,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,3,7,Vampire Weekend,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Ice Cream Piano,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Classical,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Connect,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Unbelievers,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,7,25,Modern Vampires of the City,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Cape Cod Kwassa Kwassa,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,8,4,Vampire Weekend,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
This Life,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Sympathy,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,10,64,Father of the Bride,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
New Dorp. New York,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,11,53,Other,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Pravda,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,13,44,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Capricorn,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,14,36,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Gen-X Cops,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,15,39,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Diane Young,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,16,27,Modern Vampires of the City,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Cousins,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,17,19,Contra,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
A-Punk,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,18,3,Vampire Weekend,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Prep-School Gangsters,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,19,43,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Mary Boone,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,20,41,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Hannah Hunt,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,21,29,Modern Vampires of the City,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Harmony Hall,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,22,55,Father of the Bride,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Hope,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,23,42,Only God Was Above Us,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Walcott,Vampire Weekend,"Daily's Place Amphitheater, Jacksonville, FL, USA",Jun,12,2025,Only God Was Above Us,VW Show,34,10,Vampire Weekend,Jacksonville,2025-06-12,Jacksonville 12,70,Jacksonville,Jacksonville: 2025-06-12
Cousins,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,1,19,Contra,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
I Stand Corrected,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,2,9,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
One (Blake's Got a New Face),Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,3,8,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Ice Cream Piano,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Classical,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Connect,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
White Sky,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,7,14,Contra,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Step,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,8,26,Modern Vampires of the City,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
This Life,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
M79,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,10,5,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Sunflower,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,11,65,Father of the Bride,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Sympathy,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,12,64,Father of the Bride,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
The Surfer,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,13,45,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Capricorn,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,14,36,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Gen-X Cops,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,15,39,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Diane Young,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,16,27,Modern Vampires of the City,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
A-Punk,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,17,3,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Oxford Comma,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,18,2,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Cocaine Cowboys,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,19,46,Other,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Mary Boone,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,20,41,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Harmony Hall,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,21,55,Father of the Bride,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Hope,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,22,42,Only God Was Above Us,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Walcott,Vampire Weekend,"Asheville Yards, Asheville, NC, USA",Jun,9,2025,Only God Was Above Us,VW Show,32,10,Vampire Weekend,Asheville,2025-06-09,Asheville 9,69,Asheville,Asheville: 2025-06-09
Hold You Now,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,1,54,Father of the Bride,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Holiday,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,2,15,Contra,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Oxford Comma,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,3,2,Vampire Weekend,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Ice Cream Piano,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Classical,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Connect,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Unbelievers,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,7,25,Modern Vampires of the City,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Cape Cod Kwassa Kwassa,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,8,4,Vampire Weekend,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
This Life,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Sunflower,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,10,65,Father of the Bride,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Sympathy,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,11,64,Father of the Bride,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
How Long?,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,12,59,Father of the Bride,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
Capricorn,Vampire Weekend,"Firefly Distillery, North Charleston, SC, USA",Jun,6,2025,Only God Was Above Us,VW Show,13,36,Only God Was Above Us,North Charleston,2025-06-06,North Charleston 6,68,North Charleston,North Charleston: 2025-06-06
