sets,artist,venue,month,day,year,tour,song_num,album,city
Prep-School Gangsters,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,21,Only God Was Above Us,Paris
Mary Boone,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,22,Only God Was Above Us,Paris
Unbearably White,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,23,Father of the Bride,Paris
Harmony Hall,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,24,Father of the Bride,Paris
Hope,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,25,Only God Was Above Us,Paris
The Kids Don't Stand a Chance,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,32,Vampire Weekend,Paris
Walcott,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,39,Vampire Weekend,Paris
Mansard Roof,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,1,Vampire Weekend,London
Holiday,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,2,Contra,London
Bryn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,3,Vampire Weekend,London
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,4,Only God Was Above Us,London
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,5,Only God Was Above Us,London
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,6,Only God Was Above Us,London
Unbelievers,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,7,Modern Vampires of the City,London
Step,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,8,Modern Vampires of the City,London
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,9,Father of the Bride,London
