sets,artist,venue,month,day,year,tour,song_num,album,city
Cousins,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,1,Contra,Nashville
Holiday,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,2,Contra,Nashville
One (Blake's Got a New Face),Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,3,Vampire Weekend,Nashville
Ice Cream Piano,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,4,Only God Was Above Us,Nashville
Classical,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,5,Only God Was Above Us,Nashville
Connect,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,6,Only God Was Above Us,Nashville
White Sky,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,7,Contra,Nashville
Unbelievers,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,8,Modern Vampires of the City,Nashville
This Life,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,9,Father of the Bride,Nashville
Sunflower,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,10,Father of the Bride,Nashville
Sympathy,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,11,Father of the Bride,Nashville
New Dorp. New York,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,12,Other,Nashville
Pravda,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,13,Only God Was Above Us,Nashville
Campus,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,14,Vampire Weekend,Nashville
Oxford Comma,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,15,Vampire Weekend,Nashville
Capricorn,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,16,Only God Was Above Us,Nashville
Gen-X Cops,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,17,Only God Was Above Us,Nashville
Diane Young,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,18,Modern Vampires of the City,Nashville
A-Punk,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,19,Vampire Weekend,Nashville
Prep-School Gangsters,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,20,Only God Was Above Us,Nashville
Mary Boone,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,21,Only God Was Above Us,Nashville
Harmony Hall,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,22,Father of the Bride,Nashville
Hope,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,23,Only God Was Above Us,Nashville
Walcott,Vampire Weekend,"Ascend Amphitheater, Nashville, TN, USA",Oct,11,2024,Only God Was Above Us,36,Vampire Weekend,Nashville
Hold You Now,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,1,Father of the Bride,Raleigh
Holiday,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,2,Contra,Raleigh
Boston (Ladies of Cambridge),Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,3,Other,Raleigh
Ice Cream Piano,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,4,Only God Was Above Us,Raleigh
Classical,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,5,Only God Was Above Us,Raleigh
Connect,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,6,Only God Was Above Us,Raleigh
Unbelievers,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,7,Modern Vampires of the City,Raleigh
Cape Cod Kwassa Kwassa,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,8,Vampire Weekend,Raleigh
This Life,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,9,Father of the Bride,Raleigh
Sympathy,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,10,Father of the Bride,Raleigh
New Dorp. New York,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,11,Other,Raleigh
Pravda,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,12,Only God Was Above Us,Raleigh
Bambina,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,13,Father of the Bride,Raleigh
Campus,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,14,Vampire Weekend,Raleigh
Oxford Comma,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,15,Vampire Weekend,Raleigh
Capricorn,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,16,Only God Was Above Us,Raleigh
Gen-X Cops,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,17,Only God Was Above Us,Raleigh
Diane Young,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,18,Modern Vampires of the City,Raleigh
Cousins,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,19,Contra,Raleigh
A-Punk,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,20,Vampire Weekend,Raleigh
Prep-School Gangsters,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,21,Only God Was Above Us,Raleigh
Mary Boone,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,22,Only God Was Above Us,Raleigh
Harmony Hall,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,23,Father of the Bride,Raleigh
Hope,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,24,Only God Was Above Us,Raleigh
Walcott,Vampire Weekend,"Red Hat Amphitheater, Raleigh, NC, USA",Oct,9,2024,Only God Was Above Us,41,Vampire Weekend,Raleigh
Campus,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,1,Vampire Weekend,Wilmington
Cape Cod Kwassa Kwassa,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,2,Vampire Weekend,Wilmington
I Stand Corrected,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,3,Vampire Weekend,Wilmington
Ice Cream Piano,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,4,Only God Was Above Us,Wilmington
Classical,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,5,Only God Was Above Us,Wilmington
Connect,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,6,Only God Was Above Us,Wilmington
White Sky,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,7,Contra,Wilmington
Step,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,8,Modern Vampires of the City,Wilmington
This Life,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,9,Father of the Bride,Wilmington
Sunflower,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,10,Father of the Bride,Wilmington
Sympathy,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,11,Father of the Bride,Wilmington
The Surfer,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,12,Only God Was Above Us,Wilmington
Ottoman,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,13,Other,Wilmington
Capricorn,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,14,Only God Was Above Us,Wilmington
Gen-X Cops,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,15,Only God Was Above Us,Wilmington
Diane Young,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,16,Modern Vampires of the City,Wilmington
Cousins,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,17,Contra,Wilmington
A-Punk,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,18,Vampire Weekend,Wilmington
Cocaine Cowboys,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,19,Other,Wilmington
Mary Boone,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,20,Only God Was Above Us,Wilmington
Hannah Hunt,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,21,Modern Vampires of the City,Wilmington
Harmony Hall,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,22,Father of the Bride,Wilmington
Hope,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,23,Only God Was Above Us,Wilmington
Walcott,Vampire Weekend,"Live Oak Bank Pavilion, Wilmington, NC, USA",Oct,8,2024,Only God Was Above Us,33,Vampire Weekend,Wilmington
Hold You Now,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,1,Father of the Bride,New York
Campus,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,2,Vampire Weekend,New York
Bryn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,3,Vampire Weekend,New York
Ice Cream Piano,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,4,Only God Was Above Us,New York
Classical,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,5,Only God Was Above Us,New York
Connect,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,6,Only God Was Above Us,New York
Unbelievers,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,7,Modern Vampires of the City,New York
Cape Cod Kwassa Kwassa,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,8,Vampire Weekend,New York
This Life,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,9,Father of the Bride,New York
Everlasting Arms,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,10,Modern Vampires of the City,New York
Sunflower,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,11,Father of the Bride,New York
M79,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,12,Vampire Weekend,New York
Pravda,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,13,Only God Was Above Us,New York
Run,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,14,Contra,New York
Diplomat's Son,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,15,Contra,New York
Capricorn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,17,Only God Was Above Us,New York
Cousins,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,18,Contra,New York
A-Punk,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,19,Vampire Weekend,New York
Cocaine Cowboys,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,20,Other,New York
Prep-School Gangsters,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,21,Only God Was Above Us,New York
Horchata,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,22,Contra,New York
Mary Boone,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,23,Only God Was Above Us,New York
Hannah Hunt,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,24,Modern Vampires of the City,New York
Harmony Hall,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,25,Father of the Bride,New York
Worship You,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,36,Modern Vampires of the City,New York
Ya Hey,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,6,2024,Only God Was Above Us,37,Modern Vampires of the City,New York
Mansard Roof,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,1,Vampire Weekend,New York
Holiday,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,2,Contra,New York
One (Blake's Got a New Face),Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,3,Vampire Weekend,New York
Ice Cream Piano,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,4,Only God Was Above Us,New York
Classical,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,5,Only God Was Above Us,New York
Connect,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,6,Only God Was Above Us,New York
White Sky,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,7,Contra,New York
Step,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,8,Modern Vampires of the City,New York
This Life,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,9,Father of the Bride,New York
Sympathy,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,10,Father of the Bride,New York
New Dorp. New York,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,11,Other,New York
The Surfer,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,12,Only God Was Above Us,New York
Bambina,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,13,Father of the Bride,New York
Giving Up the Gun,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,14,Contra,New York
Oxford Comma,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,15,Vampire Weekend,New York
Capricorn,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,16,Only God Was Above Us,New York
Gen-X Cops,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,17,Only God Was Above Us,New York
Diane Young,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,18,Modern Vampires of the City,New York
A-Punk,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,19,Vampire Weekend,New York
Mary Boone,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,21,Only God Was Above Us,New York
Harmony Hall,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,22,Father of the Bride,New York
Hope,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,23,Only God Was Above Us,New York
Walcott,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,35,Vampire Weekend,New York
SNL Closing Theme (A Waltz in A) / Flower Moon,Vampire Weekend,"Madison Square Garden, New York, NY, USA",Oct,5,2024,Only God Was Above Us,36,Other,New York
Holiday,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,1,Contra,Charlottesville
Cape Cod Kwassa Kwassa,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,2,Vampire Weekend,Charlottesville
Bryn,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,3,Vampire Weekend,Charlottesville
Ice Cream Piano,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,4,Only God Was Above Us,Charlottesville
Classical,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,5,Only God Was Above Us,Charlottesville
Connect,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,6,Only God Was Above Us,Charlottesville
White Sky,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,7,Contra,Charlottesville
Unbelievers,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,8,Modern Vampires of the City,Charlottesville
This Life,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,9,Father of the Bride,Charlottesville
Sunflower,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,10,Father of the Bride,Charlottesville
Sympathy,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,11,Father of the Bride,Charlottesville
New Dorp. New York,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,12,Other,Charlottesville
Giving Up the Gun,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,13,Contra,Charlottesville
Campus,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,14,Vampire Weekend,Charlottesville
Capricorn,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,15,Only God Was Above Us,Charlottesville
Gen-X Cops,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,16,Only God Was Above Us,Charlottesville
Diane Young,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,17,Modern Vampires of the City,Charlottesville
Cousins,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,18,Contra,Charlottesville
A-Punk,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,19,Vampire Weekend,Charlottesville
Prep-School Gangsters,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,20,Only God Was Above Us,Charlottesville
Mary Boone,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,21,Only God Was Above Us,Charlottesville
Harmony Hall,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,22,Father of the Bride,Charlottesville
Hope,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,23,Only God Was Above Us,Charlottesville
Worship You,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,37,Modern Vampires of the City,Charlottesville
Ya Hey,Vampire Weekend,"Ting Pavilion, Charlottesville, VA, USA",Oct,2,2024,Only God Was Above Us,38,Modern Vampires of the City,Charlottesville
Mansard Roof,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,1,Vampire Weekend,Washington
Oxford Comma,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,2,Vampire Weekend,Washington
Boston (Ladies of Cambridge),Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,3,Other,Washington
Ice Cream Piano,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,4,Only God Was Above Us,Washington
Classical,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,5,Only God Was Above Us,Washington
Connect,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,6,Only God Was Above Us,Washington
Cape Cod Kwassa Kwassa,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,7,Vampire Weekend,Washington
Unbelievers,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,8,Modern Vampires of the City,Washington
This Life,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,9,Father of the Bride,Washington
Sunflower,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,10,Father of the Bride,Washington
M79,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,11,Vampire Weekend,Washington
Pravda,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,12,Only God Was Above Us,Washington
Horchata,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,13,Contra,Washington
Capricorn,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,14,Only God Was Above Us,Washington
Gen-X Cops,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,15,Only God Was Above Us,Washington
Diane Young,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,16,Modern Vampires of the City,Washington
A-Punk,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,17,Vampire Weekend,Washington
Prep-School Gangsters,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,19,Only God Was Above Us,Washington
Mary Boone,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,20,Only God Was Above Us,Washington
Hannah Hunt,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,21,Modern Vampires of the City,Washington
Harmony Hall,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,22,Father of the Bride,Washington
Hope,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,23,Only God Was Above Us,Washington
Walcott,Vampire Weekend,"The Anthem, Washington, DC, USA",Oct,1,2024,Only God Was Above Us,39,Vampire Weekend,Washington
Hold You Now,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,1,Father of the Bride,Washington
Holiday,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,2,Contra,Washington
One (Blake's Got a New Face),Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,3,Vampire Weekend,Washington
Ice Cream Piano,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,4,Only God Was Above Us,Washington
Classical,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,5,Only God Was Above Us,Washington
Connect,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,6,Only God Was Above Us,Washington
White Sky,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,7,Contra,Washington
Step,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,8,Modern Vampires of the City,Washington
This Life,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,9,Father of the Bride,Washington
Sympathy,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,10,Father of the Bride,Washington
New Dorp. New York,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,11,Other,Washington
The Surfer,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,12,Only God Was Above Us,Washington
How Long?,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,13,Father of the Bride,Washington
Campus,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,14,Vampire Weekend,Washington
Oxford Comma,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,15,Vampire Weekend,Washington
Capricorn,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,16,Only God Was Above Us,Washington
Gen-X Cops,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,17,Only God Was Above Us,Washington
Diane Young,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,18,Modern Vampires of the City,Washington
Cousins,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,19,Contra,Washington
A-Punk,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,20,Vampire Weekend,Washington
Prep-School Gangsters,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,21,Only God Was Above Us,Washington
Mary Boone,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,22,Only God Was Above Us,Washington
Harmony Hall,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,23,Father of the Bride,Washington
Hope,Vampire Weekend,"The Anthem, Washington, DC, USA",Sep,30,2024,Only God Was Above Us,24,Only God Was Above Us,Washington
