sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Harmony Hall,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,1,13,55,Father of the Bride,Atlanta
Walcott,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,1,15,10,Vampire Weekend,Atlanta
Mansard Roof,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,1,1,Vampire Weekend,Richmond
Holiday,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,2,15,Contra,Richmond
Ice Cream Piano,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,3,40,Only God Was Above Us,Richmond
Classical,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,4,37,Only God Was Above Us,Richmond
Connect,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,5,38,Only God Was Above Us,Richmond
Unbelievers,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,6,25,Modern Vampires of the City,Richmond
Step,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,7,26,Modern Vampires of the City,Richmond
This Life,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,8,57,Father of the Bride,Richmond
Sympathy,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,9,64,Father of the Bride,Richmond
New Dorp. New York,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,10,53,Other,Richmond
Capricorn,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,11,36,Only God Was Above Us,Richmond
Diane Young,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,12,27,Modern Vampires of the City,Richmond
A-Punk,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,13,3,Vampire Weekend,Richmond
Campus,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,14,6,Vampire Weekend,Richmond
Oxford Comma,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,15,2,Vampire Weekend,Richmond
Mary Boone,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,16,41,Only God Was Above Us,Richmond
Harmony Hall,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,17,55,Father of the Bride,Richmond
Walcott,Vampire Weekend,"Midtown Green, Richmond, VA, USA",Sep,20,2025,Only God Was Above Us,1,18,10,Vampire Weekend,Richmond
Unbelievers,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,1,25,Modern Vampires of the City,Montclair
Holiday,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,2,15,Contra,Montclair
One (Blake's Got a New Face),Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,3,8,Vampire Weekend,Montclair
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Montclair
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Montclair
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Montclair
White Sky,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,7,14,Contra,Montclair
Cape Cod Kwassa Kwassa,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,8,4,Vampire Weekend,Montclair
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,9,57,Father of the Bride,Montclair
Sunflower,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,10,65,Father of the Bride,Montclair
Diplomat's Son,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,11,21,Contra,Montclair
2021,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,12,67,Father of the Bride,Montclair
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Montclair
Gen-X Cops,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,15,39,Only God Was Above Us,Montclair
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,16,27,Modern Vampires of the City,Montclair
Cousins,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,17,19,Contra,Montclair
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,18,3,Vampire Weekend,Montclair
Prep-School Gangsters,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,19,43,Only God Was Above Us,Montclair
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,20,41,Only God Was Above Us,Montclair
Hannah Hunt,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,21,29,Modern Vampires of the City,Montclair
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,22,55,Father of the Bride,Montclair
Worship You,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,23,32,Modern Vampires of the City,Montclair
Ya Hey,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,24,33,Modern Vampires of the City,Montclair
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,0,34,10,Vampire Weekend,Montclair
M79,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,1,5,Vampire Weekend,Montclair
Campus,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,2,6,Vampire Weekend,Montclair
I Stand Corrected,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,3,9,Vampire Weekend,Montclair
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Montclair
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Montclair
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Montclair
White Sky,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,7,14,Contra,Montclair
Step,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,8,26,Modern Vampires of the City,Montclair
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,9,57,Father of the Bride,Montclair
Sympathy,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,10,64,Father of the Bride,Montclair
New Dorp. New York,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,11,53,Other,Montclair
California English,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,12,16,Contra,Montclair
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Montclair
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,15,27,Modern Vampires of the City,Montclair
Cousins,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,16,19,Contra,Montclair
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,17,3,Vampire Weekend,Montclair
Horchata,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,18,13,Contra,Montclair
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,19,41,Only God Was Above Us,Montclair
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,20,55,Father of the Bride,Montclair
"Jerusalem, New York, Berlin",Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,21,71,Father of the Bride,Montclair
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,0,28,10,Vampire Weekend,Montclair
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,1,27,Modern Vampires of the City,Montclair
Holiday,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,2,15,Contra,Montclair
Bryn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,3,7,Vampire Weekend,Montclair
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Montclair
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Montclair
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Montclair
Cape Cod Kwassa Kwassa,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,7,4,Vampire Weekend,Montclair
Step,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,8,26,Modern Vampires of the City,Montclair
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,9,57,Father of the Bride,Montclair
Sympathy,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,10,64,Father of the Bride,Montclair
Bambina,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,0,11,56,Father of the Bride,Montclair
