sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Stranger,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,10,69,Father of the Bride,Philadelphia
Diplomat's Son,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,11,21,Contra,Philadelphia
Giving Up the Gun,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,12,20,Contra,Philadelphia
We Belong Together,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,13,68,Father of the Bride,Philadelphia
Don't Lie,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,14,28,Modern Vampires of the City,Philadelphia
I Think Ur a Contra,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,16,22,Contra,Philadelphia
Capricorn,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,17,36,Only God Was Above Us,Philadelphia
Gen-X Cops,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,18,39,Only God Was Above Us,Philadelphia
Diane Young,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,19,27,Modern Vampires of the City,Philadelphia
A-Punk,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,20,3,Vampire Weekend,Philadelphia
Campus,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,21,6,Vampire Weekend,Philadelphia
Mary Boone,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,22,41,Only God Was Above Us,Philadelphia
Hannah Hunt,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,23,29,Modern Vampires of the City,Philadelphia
Harmony Hall,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,24,55,Father of the Bride,Philadelphia
M79,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,40,5,Vampire Weekend,Philadelphia
Walcott,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,42,10,Vampire Weekend,Philadelphia
SNL Closing Theme (A Waltz in A) / Flower Moon,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,31,2025,Only God Was Above Us,0,43,49,Other,Philadelphia
Mansard Roof,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,1,1,Vampire Weekend,Philadelphia
Holiday,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,2,15,Contra,Philadelphia
I Stand Corrected,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,3,9,Vampire Weekend,Philadelphia
Ice Cream Piano,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Philadelphia
Classical,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Philadelphia
Connect,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Philadelphia
White Sky,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,7,14,Contra,Philadelphia
Step,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,8,26,Modern Vampires of the City,Philadelphia
This Life,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,9,57,Father of the Bride,Philadelphia
Sympathy,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,10,64,Father of the Bride,Philadelphia
New Dorp. New York,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,11,53,Other,Philadelphia
The Surfer,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,12,45,Only God Was Above Us,Philadelphia
Don't Lie,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,13,28,Modern Vampires of the City,Philadelphia
Married in a Gold Rush,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,15,62,Father of the Bride,Philadelphia
I Think Ur a Contra,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,17,22,Contra,Philadelphia
Capricorn,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,18,36,Only God Was Above Us,Philadelphia
Diane Young,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,19,27,Modern Vampires of the City,Philadelphia
Cousins,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,20,19,Contra,Philadelphia
A-Punk,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,21,3,Vampire Weekend,Philadelphia
Run,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,22,18,Contra,Philadelphia
Mary Boone,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,23,41,Only God Was Above Us,Philadelphia
Harmony Hall,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,24,55,Father of the Bride,Philadelphia
Hope,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,25,42,Only God Was Above Us,Philadelphia
Worship You,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,35,32,Modern Vampires of the City,Philadelphia
Ya Hey,Vampire Weekend,"Metropolitan Opera House, Philadelphia, PA, USA",May,30,2025,Only God Was Above Us,0,36,33,Modern Vampires of the City,Philadelphia
Boston (Ladies of Cambridge),Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,1,48,Other,Portland
Oxford Comma,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,2,2,Vampire Weekend,Portland
One (Blake's Got a New Face),Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,3,8,Vampire Weekend,Portland
Ice Cream Piano,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Portland
Classical,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Portland
Connect,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Portland
Unbelievers,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,7,25,Modern Vampires of the City,Portland
Cape Cod Kwassa Kwassa,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,8,4,Vampire Weekend,Portland
This Life,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,9,57,Father of the Bride,Portland
Sympathy,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,10,64,Father of the Bride,Portland
New Dorp. New York,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,11,53,Other,Portland
The Surfer,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,12,45,Only God Was Above Us,Portland
Horchata,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,13,13,Contra,Portland
Capricorn,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Portland
Gen-X Cops,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,15,39,Only God Was Above Us,Portland
Diane Young,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,16,27,Modern Vampires of the City,Portland
Cousins,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,17,19,Contra,Portland
A-Punk,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,18,3,Vampire Weekend,Portland
Prep-School Gangsters,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,19,43,Only God Was Above Us,Portland
Mary Boone,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,20,41,Only God Was Above Us,Portland
Harmony Hall,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,21,55,Father of the Bride,Portland
Hope,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,22,42,Only God Was Above Us,Portland
Walcott,Vampire Weekend,"Thompson's Point, Portland, ME, USA",May,29,2025,Only God Was Above Us,0,31,10,Vampire Weekend,Portland
Hold You Now,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,1,54,Father of the Bride,Essex Junction
Holiday,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,2,15,Contra,Essex Junction
Cape Cod Kwassa Kwassa,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,3,4,Vampire Weekend,Essex Junction
Ice Cream Piano,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,Essex Junction
Classical,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,Essex Junction
Connect,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,Essex Junction
White Sky,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,7,14,Contra,Essex Junction
Step,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,8,26,Modern Vampires of the City,Essex Junction
This Life,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,9,57,Father of the Bride,Essex Junction
Sunflower,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,10,65,Father of the Bride,Essex Junction
Sympathy,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,11,64,Father of the Bride,Essex Junction
Stranger,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,12,69,Father of the Bride,Essex Junction
Pravda,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,13,44,Only God Was Above Us,Essex Junction
Capricorn,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Essex Junction
Gen-X Cops,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,15,39,Only God Was Above Us,Essex Junction
Diane Young,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,16,27,Modern Vampires of the City,Essex Junction
Cousins,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,17,19,Contra,Essex Junction
A-Punk,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,18,3,Vampire Weekend,Essex Junction
Prep-School Gangsters,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,19,43,Only God Was Above Us,Essex Junction
Mary Boone,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,20,41,Only God Was Above Us,Essex Junction
Hannah Hunt,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,21,29,Modern Vampires of the City,Essex Junction
Harmony Hall,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,22,55,Father of the Bride,Essex Junction
Hope,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,23,42,Only God Was Above Us,Essex Junction
Walcott,Vampire Weekend,"Champlain Valley Fairgrounds and Exposition Center, Essex Junction, VT, USA",May,27,2025,Only God Was Above Us,0,36,10,Vampire Weekend,Essex Junction
Ice Cream Piano,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,1,40,Only God Was Above Us,Boston
Classical,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,2,37,Only God Was Above Us,Boston
Unbelievers,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,3,25,Modern Vampires of the City,Boston
This Life,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,4,57,Father of the Bride,Boston
Step,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,5,26,Modern Vampires of the City,Boston
Cousins,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,6,19,Contra,Boston
Sympathy,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,7,64,Father of the Bride,Boston
Capricorn,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,8,36,Only God Was Above Us,Boston
A-Punk,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,9,3,Vampire Weekend,Boston
Campus,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,10,6,Vampire Weekend,Boston
Oxford Comma,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,11,2,Vampire Weekend,Boston
Diane Young,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,12,27,Modern Vampires of the City,Boston
Harmony Hall,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,13,55,Father of the Bride,Boston
Walcott,Vampire Weekend,"Harvard Athletic Complex, Boston, MA, USA",May,25,2025,Only God Was Above Us,1,14,10,Vampire Weekend,Boston
Mansard Roof,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,1,1,Vampire Weekend,Pasadena
Holiday,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,2,15,Contra,Pasadena
Ice Cream Piano,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,3,40,Only God Was Above Us,Pasadena
Classical,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,4,37,Only God Was Above Us,Pasadena
Unbelievers,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,5,25,Modern Vampires of the City,Pasadena
Step,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,6,26,Modern Vampires of the City,Pasadena
This Life,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,7,57,Father of the Bride,Pasadena
Sympathy,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,8,64,Father of the Bride,Pasadena
Capricorn,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,9,36,Only God Was Above Us,Pasadena
Gen-X Cops,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,10,39,Only God Was Above Us,Pasadena
Diane Young,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,11,27,Modern Vampires of the City,Pasadena
A-Punk,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,12,3,Vampire Weekend,Pasadena
Campus,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,13,6,Vampire Weekend,Pasadena
Oxford Comma,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,14,2,Vampire Weekend,Pasadena
Mary Boone,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,15,41,Only God Was Above Us,Pasadena
Harmony Hall,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,16,55,Father of the Bride,Pasadena
Walcott,Vampire Weekend,"Brookside Park, Pasadena, CA, USA",May,10,2025,Only God Was Above Us,1,22,10,Vampire Weekend,Pasadena
Cousins,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,1,19,Contra,Amsterdam
Oxford Comma,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,2,2,Vampire Weekend,Amsterdam
One (Blake's Got a New Face),Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,3,8,Vampire Weekend,Amsterdam
Ice Cream Piano,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Amsterdam
Classical,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Amsterdam
Connect,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Amsterdam
Unbelievers,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,7,25,Modern Vampires of the City,Amsterdam
Cape Cod Kwassa Kwassa,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,8,4,Vampire Weekend,Amsterdam
This Life,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,9,57,Father of the Bride,Amsterdam
Sunflower,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,10,65,Father of the Bride,Amsterdam
Sympathy,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,11,64,Father of the Bride,Amsterdam
The Surfer,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,12,45,Only God Was Above Us,Amsterdam
Horchata,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,13,13,Contra,Amsterdam
Bambina,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,14,56,Father of the Bride,Amsterdam
Capricorn,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,15,36,Only God Was Above Us,Amsterdam
Gen-X Cops,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,16,39,Only God Was Above Us,Amsterdam
Diane Young,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,17,27,Modern Vampires of the City,Amsterdam
A-Punk,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,18,3,Vampire Weekend,Amsterdam
Prep-School Gangsters,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,19,43,Only God Was Above Us,Amsterdam
Mary Boone,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,20,41,Only God Was Above Us,Amsterdam
Hannah Hunt,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,21,29,Modern Vampires of the City,Amsterdam
Harmony Hall,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,22,55,Father of the Bride,Amsterdam
Hope,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,23,42,Only God Was Above Us,Amsterdam
Worship You,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,39,32,Modern Vampires of the City,Amsterdam
Ya Hey,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,0,40,33,Modern Vampires of the City,Amsterdam
Hold You Now,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,1,54,Father of the Bride,Paris
Holiday,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,2,15,Contra,Paris
Boston (Ladies of Cambridge),Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,3,48,Other,Paris
Ice Cream Piano,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,Paris
Classical,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,Paris
Connect,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,Paris
White Sky,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,7,14,Contra,Paris
Step,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,Paris
This Life,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,9,57,Father of the Bride,Paris
Sunflower,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,10,65,Father of the Bride,Paris
Sympathy,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,11,64,Father of the Bride,Paris
New Dorp. New York,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,12,53,Other,Paris
Pravda,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,13,44,Only God Was Above Us,Paris
Campus,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,14,6,Vampire Weekend,Paris
Oxford Comma,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,15,2,Vampire Weekend,Paris
Capricorn,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,16,36,Only God Was Above Us,Paris
Gen-X Cops,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,17,39,Only God Was Above Us,Paris
Diane Young,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,18,27,Modern Vampires of the City,Paris
Cousins,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,19,19,Contra,Paris
A-Punk,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,20,3,Vampire Weekend,Paris
Prep-School Gangsters,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,21,43,Only God Was Above Us,Paris
Mary Boone,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,22,41,Only God Was Above Us,Paris
Unbearably White,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,23,60,Father of the Bride,Paris
Harmony Hall,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,24,55,Father of the Bride,Paris
Hope,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,25,42,Only God Was Above Us,Paris
The Kids Don't Stand a Chance,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,32,11,Vampire Weekend,Paris
Walcott,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,0,39,10,Vampire Weekend,Paris
Mansard Roof,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,1,1,Vampire Weekend,London
Holiday,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,2,15,Contra,London
Bryn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,3,7,Vampire Weekend,London
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,4,40,Only God Was Above Us,London
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,5,37,Only God Was Above Us,London
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,6,38,Only God Was Above Us,London
Unbelievers,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,7,25,Modern Vampires of the City,London
Step,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,8,26,Modern Vampires of the City,London
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,9,57,Father of the Bride,London
Sunflower,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,10,65,Father of the Bride,London
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,0,11,64,Father of the Bride,London
