"Cousins" "Oxford Comma" "One (Blake's Got a New Face)" "Ice Cream Piano" "Classical" "Connect" "Unbelievers" "Cape Cod Kwassa Kwassa" "This Life" "Sunflower" "Sympathy" "The Surfer" "Horchata" "Bambina" "Capricorn" "Gen-X Cops" "Diane Young" "A-Punk" "Prep-School Gangsters" "Mary Boone" "Hannah Hunt" "Harmony Hall" "Hope" "Worship You" "Ya Hey" "Hold You Now" "Holiday" "Boston (Ladies of Cambridge)" "White Sky" "Step" "New Dorp. New York" "Pravda" "Campus" "Unbearably White" "The Kids Don't Stand a Chance" "Walcott" "Mansard Roof" "Bryn" "California English" "Cocaine Cowboys" "How Long?" "Obvious Bicycle" "Giving Up the Gun" "I Stand Corrected" "Run" "Ottoman" "Diplomat's Son" "M79" "Big Blue" "SNL Closing Theme (A Waltz in A) / Flower Moon" "Everlasting Arms" "Dangerous Night (The Night Is a Knife)" "Flower Moon" "I Think Ur a Contra" "Rich Man" "We Belong Together"
"Hannah Hunt" 0.434782608695652 0.318181818181818 0.258064516129032 0.423076923076923 0.423076923076923 0.423076923076923 0.470588235294118 0.358974358974359 0.423076923076923 0.325581395348837 0.347826086956522 0.235294117647059 0.25 0.129032258064516 0.423076923076923 0.365384615384615 0.403846153846154 0.423076923076923 0.340909090909091 0.423076923076923 1 0.423076923076923 0.372549019607843 0.117647058823529 0.151515151515152 0.181818181818182 0.25 0.103448275862069 0.155555555555556 0.289473684210526 0.285714285714286 0.333333333333333 0.357142857142857 0.0416666666666667 0 0.404761904761905 0.214285714285714 0.214285714285714 0.0454545454545454 0.258064516129032 0.04 0 0.0769230769230769 0.24 0.166666666666667 0.222222222222222 0.0416666666666667 0.206896551724138 0.0454545454545454 0.125 0.0454545454545454 0.0416666666666667 0.125 0 0 0.0454545454545454
"Harmony Hall" 0.846153846153846 0.692307692307692 0.326923076923077 1 1 1 0.538461538461538 0.596153846153846 1 0.673076923076923 0.769230769230769 0.384615384615385 0.153846153846154 0.25 1 0.942307692307692 0.980769230769231 1 0.711538461538462 1 0.423076923076923 1 0.923076923076923 0.307692307692308 0.307692307692308 0.326923076923077 0.538461538461538 0.192307692307692 0.576923076923077 0.519230769230769 0.442307692307692 0.5 0.673076923076923 0.0576923076923077 0.0769230769230769 0.711538461538462 0.230769230769231 0.230769230769231 0.0192307692307692 0.326923076923077 0.0769230769230769 0.0769230769230769 0.115384615384615 0.173076923076923 0.115384615384615 0.211538461538462 0.0576923076923077 0.25 0.0192307692307692 0.0961538461538462 0.0192307692307692 0.0576923076923077 0.0961538461538462 0.0192307692307692 0.0192307692307692 0.0192307692307692
"Hope" 0.84 0.647058823529412 0.3 0.923076923076923 0.923076923076923 0.923076923076923 0.490196078431373 0.549019607843137 0.923076923076923 0.627450980392157 0.795918367346939 0.387755102040816 0.0980392156862745 0.22 0.923076923076923 0.94 0.941176470588235 0.923076923076923 0.634615384615385 0.923076923076923 0.372549019607843 0.923076923076923 1 0.28 0.306122448979592 0.274509803921569 0.490196078431373 0.208333333333333 0.625 0.5 0.448979591836735 0.450980392156863 0.627450980392157 0.0625 0.0612244897959184 0.7 0.25 0.2 0.0208333333333333 0.3 0.0833333333333333 0.0833333333333333 0.125 0.1875 0.102040816326531 0.18 0.0408163265306122 0.196078431372549 0.0208333333333333 0.104166666666667 0 0.0625 0.0816326530612245 0.0208333333333333 0.0208333333333333 0
"Worship You" 0.25 0.268292682926829 0.137931034482759 0.307692307692308 0.307692307692308 0.307692307692308 0.189189189189189 0.382352941176471 0.307692307692308 0.186046511627907 0.272727272727273 0.161290322580645 0.142857142857143 0.16 0.307692307692308 0.3 0.288461538461538 0.307692307692308 0.325 0.307692307692308 0.117647058823529 0.307692307692308 0.28 1 0.777777777777778 0.32 0.157894736842105 0.0833333333333333 0.277777777777778 0.194444444444444 0.3 0.2 0.24390243902439 0 0.111111111111111 0.06 0.166666666666667 0.166666666666667 0 0.1 0.176470588235294 0.176470588235294 0.0476190476190476 0.136363636363636 0.157894736842105 0.173913043478261 0.0555555555555556 0.16 0 0 0.0625 0.0555555555555556 0 0 0.0625 0
"Ya Hey" 0.276595744680851 0.238095238095238 0.178571428571429 0.307692307692308 0.307692307692308 0.307692307692308 0.189189189189189 0.305555555555556 0.307692307692308 0.186046511627907 0.302325581395349 0.125 0.0909090909090909 0.115384615384615 0.307692307692308 0.3 0.288461538461538 0.307692307692308 0.325 0.307692307692308 0.151515151515152 0.307692307692308 0.306122448979592 0.777777777777778 1 0.269230769230769 0.128205128205128 0.0833333333333333 0.314285714285714 0.194444444444444 0.3 0.235294117647059 0.24390243902439 0 0.0526315789473684 0.0392156862745098 0.217391304347826 0.166666666666667 0 0.137931034482759 0.176470588235294 0.176470588235294 0.0476190476190476 0.136363636363636 0.222222222222222 0.125 0.0555555555555556 0.16 0 0 0.0625 0.0555555555555556 0 0 0.0625 0
"Hold You Now" 0.355555555555556 0.292682926829268 0.0967741935483871 0.326923076923077 0.326923076923077 0.326923076923077 0.184210526315789 0.371428571428571 0.326923076923077 0.238095238095238 0.325581395348837 0.233333333333333 0.0869565217391304 0.111111111111111 0.326923076923077 0.32 0.307692307692308 0.326923076923077 0.35 0.326923076923077 0.181818181818182 0.326923076923077 0.274509803921569 0.32 0.269230769230769 1 0.216216216216216 0.08 0.175 0.257142857142857 0.25 0.228571428571429 0.3 0.0526315789473684 0.166666666666667 0.255813953488372 0.0740740740740741 0.208333333333333 0 0.133333333333333 0.166666666666667 0.05 0.0454545454545454 0.130434782608696 0.0952380952380952 0.272727272727273 0.0526315789473684 0.2 0 0.0476190476190476 0.0588235294117647 0 0 0 0 0
"Holiday" 0.469387755102041 0.560975609756098 0.363636363636364 0.538461538461538 0.538461538461538 0.538461538461538 0.4 0.282608695652174 0.538461538461538 0.536585365853659 0.446808510638298 0.263157894736842 0.125 0.28125 0.538461538461538 0.54 0.549019607843137 0.538461538461538 0.444444444444444 0.538461538461538 0.25 0.538461538461538 0.490196078431373 0.157894736842105 0.128205128205128 0.216216216216216 1 0.151515151515152 0.45 0.375 0.275 0.421052631578947 0.465116279069767 0.0689655172413793 0.103448275862069 0.511627906976744 0.111111111111111 0.176470588235294 0.0357142857142857 0.184210526315789 0.0666666666666667 0 0.172413793103448 0.0882352941176471 0.0967741935483871 0.181818181818182 0.0689655172413793 0.171428571428571 0.0357142857142857 0.03125 0 0.0689655172413793 0.178571428571429 0.0357142857142857 0 0.0357142857142857
"Boston (Ladies of Cambridge)" 0.148936170212766 0.243243243243243 0.0384615384615385 0.192307692307692 0.192307692307692 0.192307692307692 0.151515151515152 0.242424242424242 0.192307692307692 0.153846153846154 0.19047619047619 0.2 0.2 0.0454545454545454 0.192307692307692 0.204081632653061 0.196078431372549 0.192307692307692 0.205128205128205 0.192307692307692 0.103448275862069 0.192307692307692 0.208333333333333 0.0833333333333333 0.0833333333333333 0.08 0.151515151515152 1 0.212121212121212 0.121212121212121 0.222222222222222 0.2 0.125 0.181818181818182 0.0769230769230769 0.205128205128205 0.1 0 0 0.0384615384615385 0.0769230769230769 0.166666666666667 0.0666666666666667 0 0 0.105263157894737 0 0.0952380952380952 0.1 0 0 0.3 0 0 0 0
"White Sky" 0.510204081632653 0.466666666666667 0.305555555555556 0.576923076923077 0.576923076923077 0.576923076923077 0.288888888888889 0.326086956521739 0.576923076923077 0.477272727272727 0.555555555555556 0.351351351351351 0.027027027027027 0.228571428571429 0.576923076923077 0.58 0.588235294117647 0.576923076923077 0.522727272727273 0.576923076923077 0.155555555555556 0.576923076923077 0.625 0.277777777777778 0.314285714285714 0.175 0.45 0.212121212121212 1 0.266666666666667 0.394736842105263 0.244444444444444 0.382978723404255 0.1 0.0625 0.425531914893617 0.166666666666667 0.135135135135135 0 0.205128205128205 0.0967741935483871 0.0967741935483871 0.125 0.147058823529412 0.0909090909090909 0.138888888888889 0.0645161290322581 0.102564102564103 0 0.0606060606060606 0 0.1 0.09375 0.0333333333333333 0.0333333333333333 0
"Step" 0.448979591836735 0.465116279069767 0.257142857142857 0.519230769230769 0.519230769230769 0.519230769230769 0.195652173913043 0.288888888888889 0.519230769230769 0.409090909090909 0.395833333333333 0.342857142857143 0.129032258064516 0.212121212121212 0.519230769230769 0.52 0.529411764705882 0.519230769230769 0.28 0.519230769230769 0.289473684210526 0.519230769230769 0.5 0.194444444444444 0.194444444444444 0.257142857142857 0.375 0.121212121212121 0.266666666666667 1 0.25 0.394736842105263 0.51219512195122 0.0714285714285714 0.148148148148148 0.488372093023256 0.21875 0.147058823529412 0.037037037037037 0.375 0.0689655172413793 0.0689655172413793 0.0645161290322581 0.241379310344828 0.1 0.151515151515152 0.0344827586206896 0.290322580645161 0.037037037037037 0.142857142857143 0 0.0714285714285714 0.103448275862069 0 0 0.037037037037037
"New Dorp. New York" 0.425531914893617 0.340909090909091 0.333333333333333 0.442307692307692 0.442307692307692 0.442307692307692 0.342105263157895 0.35 0.442307692307692 0.115384615384615 0.575 0.264705882352941 0.0333333333333333 0.125 0.442307692307692 0.44 0.450980392156863 0.442307692307692 0.5 0.442307692307692 0.285714285714286 0.442307692307692 0.448979591836735 0.3 0.3 0.25 0.275 0.222222222222222 0.394736842105263 0.25 1 0.256410256410256 0.348837209302326 0.0833333333333333 0.0384615384615385 0.333333333333333 0.206896551724138 0.129032258064516 0 0.0810810810810811 0.125 0.125 0.0740740740740741 0.142857142857143 0.0740740740740741 0.0967741935483871 0 0.0588235294117647 0.0434782608695652 0.12 0 0.04 0 0 0.0434782608695652 0
