sets,artist,venue.x,month,day,year,tour,song_num,album,city,date1,city.y,capacity,once,five,city1,lon,lat,state,showavgo,totalavgo,venue.y,totalavgo <- avgoverlap,date
Walcott,Vampire Weekend,"Eventim Apollo, London, England",Dec,4,2024,Only God Was Above Us,36,Vampire Weekend,London,Dec 4,London 1,5000,0,0,London,-0.2246102,51.4909927,NA,0.58,0.56,"Eventim Apollo, London, England",0.56,2024-12-04
Mansard Roof,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,1,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Oxford Comma,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,2,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Bryn,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,3,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Ice Cream Piano,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,4,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Classical,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,5,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Connect,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,6,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
White Sky,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,7,Contra,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Cape Cod Kwassa Kwassa,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,8,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
This Life,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,9,Father of the Bride,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
M79,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,10,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Sympathy,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,11,Father of the Bride,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
New Dorp. New York,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,12,Other,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Capricorn,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,14,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Gen-X Cops,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,15,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Diane Young,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,16,Modern Vampires of the City,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
A-Punk,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,17,Vampire Weekend,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Prep-School Gangsters,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,18,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Mary Boone,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,19,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Obvious Bicycle,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,20,Modern Vampires of the City,Manchester,Dec 2,Manchester 2,3500,0,1,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Harmony Hall,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,21,Father of the Bride,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Hope,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,22,Only God Was Above Us,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Worship You,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,32,Modern Vampires of the City,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Ya Hey,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,2,2024,Only God Was Above Us,33,Modern Vampires of the City,Manchester,Dec 2,Manchester 2,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.51,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-02
Holiday,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,1,Contra,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Cape Cod Kwassa Kwassa,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,2,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
I Stand Corrected,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,3,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Ice Cream Piano,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,4,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Classical,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,5,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Connect,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,6,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Unbelievers,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,7,Modern Vampires of the City,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Step,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,8,Modern Vampires of the City,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
This Life,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,9,Father of the Bride,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Sunflower,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,10,Father of the Bride,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Sympathy,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,11,Father of the Bride,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Pravda,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,12,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Horchata,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,13,Contra,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Campus,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,14,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Oxford Comma,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,15,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Capricorn,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,16,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Gen-X Cops,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,17,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Diane Young,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,18,Modern Vampires of the City,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Cousins,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,19,Contra,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
A-Punk,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,20,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Cocaine Cowboys,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,21,Other,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Mary Boone,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,22,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Hannah Hunt,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,23,Modern Vampires of the City,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Harmony Hall,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,24,Father of the Bride,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Hope,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,25,Only God Was Above Us,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Walcott,Vampire Weekend,"O2 Apollo Manchester, Manchester, England",Dec,1,2024,Only God Was Above Us,36,Vampire Weekend,Manchester,Dec 1,Manchester 1,3500,0,0,Manchester,-2.2221418,53.4695675,NA,0.6,0.56,"O2 Apollo Manchester, Manchester, England",0.56,2024-12-01
Hold You Now,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,1,Father of the Bride,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Campus,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,2,Vampire Weekend,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
One (Blake's Got a New Face),Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,3,Vampire Weekend,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Ice Cream Piano,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,4,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Classical,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,5,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Connect,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,6,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
White Sky,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,7,Contra,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Unbelievers,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,8,Modern Vampires of the City,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
This Life,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,9,Father of the Bride,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Sympathy,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,10,Father of the Bride,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
New Dorp. New York,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,11,Other,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
The Surfer,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,12,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Ottoman,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,13,Other,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Oxford Comma,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,14,Vampire Weekend,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Capricorn,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,15,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Gen-X Cops,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,16,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Diane Young,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,17,Modern Vampires of the City,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Cousins,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,18,Contra,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
A-Punk,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,19,Vampire Weekend,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Prep-School Gangsters,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,20,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Mary Boone,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,21,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Harmony Hall,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,22,Father of the Bride,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Hope,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,23,Only God Was Above Us,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Hannah Hunt,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,30,Modern Vampires of the City,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Worship You,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,34,Modern Vampires of the City,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Ya Hey,Vampire Weekend,"3Arena, Dublin, Ireland",Nov,29,2024,Only God Was Above Us,35,Modern Vampires of the City,Dublin,Nov 29,Dublin,13000,0,0,Dublin,-6.2285078,53.3474963,NA,0.57,0.56,"3Arena, Dublin, Ireland",0.56,2024-11-29
Mansard Roof,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,1,Vampire Weekend,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Holiday,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,2,Contra,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Boston (Ladies of Cambridge),Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,3,Other,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Ice Cream Piano,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,4,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Classical,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,5,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Connect,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,6,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Cape Cod Kwassa Kwassa,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,7,Vampire Weekend,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Step,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,8,Modern Vampires of the City,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
This Life,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,9,Father of the Bride,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Sympathy,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,10,Father of the Bride,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
New Dorp. New York,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,11,Other,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Pravda,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,12,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Horchata,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,13,Contra,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Campus,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,14,Vampire Weekend,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Oxford Comma,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,15,Vampire Weekend,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Capricorn,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,16,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Gen-X Cops,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,17,Only God Was Above Us,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Diane Young,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,18,Modern Vampires of the City,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
Cousins,Vampire Weekend,"Moody Center, Austin, TX, USA",Oct,17,2024,Only God Was Above Us,19,Contra,Austin,Oct 17,Austin 2,15000,0,0,Austin,-97.7306618,30.2809699,NA,0.56,0.56,"Moody Center, Austin, TX, USA",0.56,2024-10-17
