sets,artist,venue.x,month,day,year,tour,song_num,album,city,date1,city.y,capacity,once,five,city1,lon,lat,state,showavgo,totalavgo,venue.y,totalavgo <- avgoverlap,date
Gen-X Cops,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,17,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Diane Young,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,18,Modern Vampires of the City,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Cousins,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,19,Contra,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
A-Punk,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,20,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Prep-School Gangsters,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,21,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Mary Boone,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,22,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Unbearably White,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,23,Father of the Bride,Paris,Dec 13,Paris,9000,0,1,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Harmony Hall,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,24,Father of the Bride,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Hope,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,25,Only God Was Above Us,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
The Kids Don't Stand a Chance,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,32,Vampire Weekend,Paris,Dec 13,Paris,9000,0,1,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Walcott,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,39,Vampire Weekend,Paris,Dec 13,Paris,9000,0,0,Paris,2.3606054,48.8995893,NA,0.59,0.56,"Adidas Arena, Paris, France",0.56,2024-12-13
Mansard Roof,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,1,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Holiday,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,2,Contra,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Bryn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,3,Vampire Weekend,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Ice Cream Piano,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,4,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Classical,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,5,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Connect,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,6,Only God Was Above Us,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Unbelievers,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,7,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Step,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,8,Modern Vampires of the City,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
This Life,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,9,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
Sunflower,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,11,2024,Only God Was Above Us,10,Father of the Bride,London,Dec 11,London 4,4921,0,0,London,-0.1149344,51.4651626,NA,0.57,0.56,"O2 Academy Brixton, London, England",0.56,2024-12-11
