sets	artist	venue	month	day	year	song_num
Lisztomania	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	29
Les Champs Élysées	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	30
Paris 1919	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	31
The Kids Don't Stand a Chance	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	32
Ça plane pour moi	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	33
No Surprises	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	34
Born to Run	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	35
Believe	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	36
It's All Coming Back to Me Now	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	37
Chop Suey!	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	38
Walcott	Vampire Weekend	"Adidas Arena, Paris, France"	Dec	13	2024	39
Mansard Roof	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	1
Holiday	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	2
Bryn	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	3
Ice Cream Piano	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	4
Classical	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	5
Connect	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	6
Unbelievers	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	7
Step	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	8
This Life	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	9
Sunflower	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	10
Sympathy	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	11
The Surfer	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	12
California English	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	13
Campus	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	14
Oxford Comma	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	15
Capricorn	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	16
Gen-X Cops	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	17
Diane Young	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	18
Cousins	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	19
A-Punk	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	20
Married in a Gold Rush / All the Gold in California / Sin City / Cumberland Blues / Possum	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	21
Mary Boone	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	22
Hannah Hunt	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	23
Harmony Hall	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	24
Hope	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	25
Mr. Brightside	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	26
25 or 6 to 4	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	27
If You Leave Me Now	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	28
Senses Working Overtime	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	29
Kids	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	30
Don't Stop Believin'	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	31
Santa Claus Is Comin' to Town	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	32
Seinfeld Theme	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	33
Lola	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	34
Today	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	35
Baker Street	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	36
Walcott	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	11	2024	37
Oxford Comma	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	1
Campus	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	2
Boston (Ladies of Cambridge)	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	3
Ice Cream Piano	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	4
Classical	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	5
Connect	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	6
Cape Cod Kwassa Kwassa	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	7
White Sky	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	8
This Life	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	9
Sympathy	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	10
New Dorp. New York	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	11
Pravda	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	12
How Long?	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	13
Capricorn	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	14
Gen-X Cops	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	15
Diane Young	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	16
A-Punk	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	17
Prep-School Gangsters	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	18
Obvious Bicycle	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	19
Mary Boone	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	20
Harmony Hall	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	21
Hope	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	22
Thunder Road	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	23
Jealous Guy	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	24
Sultans of Swing	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	25
The Boys Are Back in Town	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	26
Guns of Brixton	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	27
"Both Sides, Now"	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	28
Dancing in the Moonlight	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	29
Da Ya Think I'm Sexy?	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	30
The Israelites	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	31
Big Shot	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	32
Total Eclipse of the Heart	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	33
Twist and Shout	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	34
La bamba	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	35
Worship You	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	36
Ya Hey	Vampire Weekend	"O2 Academy Brixton, London, England"	Dec	10	2024	37
Cape Cod Kwassa Kwassa	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	1
Holiday	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	3
Ice Cream Piano	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	4
Classical	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	5
Connect	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	6
Unbelievers	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	7
Step	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	8
This Life	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	9
Sympathy	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	10
New Dorp. New York	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	11
The Surfer	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	12
Worship You	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	13
Oxford Comma	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	14
Capricorn	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	15
Gen-X Cops	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	16
Diane Young	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	17
Cousins	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	18
A-Punk	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	19
Prep-School Gangsters	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	20
Mary Boone	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	21
Harmony Hall	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	22
Hope	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	23
Hey Jude	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	24
Hungry Heart	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	25
Changes	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	26
Casey Jones	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	27
It's Oh So Quiet	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	28
All the Small Things	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	29
Chop Suey!	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	30
Sugarcube	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	31
Perfect Day	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	32
You're Still the One	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	33
505	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	34
Campus	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	35
Walcott	Vampire Weekend	"The OVO Hydro, Glasgow, Scotland"	Dec	8	2024	36
Holiday	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	1
Oxford Comma	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	3
Ice Cream Piano	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	4
Classical	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	5
Connect	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	6
White Sky	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	7
Unbelievers	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	8
This Life	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	9
Sunflower	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	10
Sympathy	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	11
Giving Up the Gun	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	12
Pravda	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	13
Capricorn	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	14
Gen-X Cops	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	15
Diane Young	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	16
Cousins	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	17
A-Punk	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	18
Married in a Gold Rush / All the Gold in California / Sin City / Cumberland Blues / Possum	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	19
Mary Boone	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	20
Harmony Hall	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	21
Hope	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	22
Everywhere	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	23
Can't Take My Eyes Off You	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	24
Careless Whisper	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	25
A Case of You	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	26
Iron Man	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	27
War Pigs	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	28
I'm Gonna Be (500 Miles)	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	29
Chop Suey!	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	30
Summer of '69	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	31
Up the Junction	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	32
Dear Prudence	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	33
Come on Eileen	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	34
Walcott	Vampire Weekend	"Civic Hall, Wolverhampton, England"	Dec	6	2024	35
Hold You Now	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	1
Campus	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	2
I Stand Corrected	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	3
Ice Cream Piano	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	4
Classical	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	5
Connect	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	6
Unbelievers	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	7
Cape Cod Kwassa Kwassa	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	8
This Life	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	9
Sympathy	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	10
New Dorp. New York	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	11
Run	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	12
Pravda	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	13
Ottoman	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	14
Capricorn	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	15
Gen-X Cops	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	16
Diane Young	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	17
Cousins	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	18
A-Punk	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	19
Prep-School Gangsters	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	20
Mary Boone	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	21
Hannah Hunt	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	22
Harmony Hall	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	23
Hope	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	24
Last Christmas	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	25
Dancing in the Dark	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	26
21st Century Schizoid Man	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	27
One Way or Another	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	28
Wuthering Heights	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	29
Common People	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	30
Could You Be Loved	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	31
Black Hole Sun	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	32
La bamba	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	33
Worship You	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	34
Ya Hey	Vampire Weekend	"Eventim Apollo, London, England"	Dec	5	2024	35
Cousins	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	1
Holiday	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	3
Ice Cream Piano	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	4
Classical	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	5
Connect	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	6
White Sky	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	7
Step	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	8
This Life	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	9
Sunflower	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	10
Sympathy	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	11
The Surfer	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	12
Diplomat's Son	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	13
Bambina	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	14
Oxford Comma	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	15
Capricorn	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	16
Gen-X Cops	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	17
Diane Young	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	18
A-Punk	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	19
Prep-School Gangsters	Vampire Weekend	"Eventim Apollo, London, England"	Dec	4	2024	20
