sets	artist	venue	month	day	year	song_num
Sister of Pearl	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	13
Capricorn	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	14
Gen-X Cops	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	15
Diane Young	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	16
A-Punk	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	17
Prep-School Gangsters	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	18
Mary Boone	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	19
Obvious Bicycle	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	20
Harmony Hall	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	21
Hope	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	22
Five Years	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	23
Ready for the Floor	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	24
Deacon Blues	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	25
9 to 5	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	26
All I Want for Christmas Is You	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	27
Say It Ain't So	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	28
The Wire	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	29
This Charming Man	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	30
Close to Me	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	31
Worship You	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	32
Ya Hey	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	2	2024	33
Holiday	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	1
Cape Cod Kwassa Kwassa	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	2
I Stand Corrected	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	3
Ice Cream Piano	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	4
Classical	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	5
Connect	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	6
Unbelievers	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	7
Step	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	8
This Life	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	9
Sunflower	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	10
Sympathy	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	11
Pravda	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	12
Horchata	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	13
Campus	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	14
Oxford Comma	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	15
Capricorn	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	16
Gen-X Cops	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	17
Diane Young	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	18
Cousins	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	19
A-Punk	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	20
Married in a Gold Rush / All the Gold in California / Sin City / Cumberland Blues / Possum	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	21
Mary Boone	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	22
Hannah Hunt	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	23
Harmony Hall	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	24
Hope	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	25
Lovefool	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	26
Sweet Jane	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	27
Rock & Roll	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	28
Last Nite	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	29
Have You Ever Seen the Rain?	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	30
Road to Nowhere	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	31
Girls Just Want to Have Fun	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	32
HOT TO GO!	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	33
Common People	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	34
Hungry Like the Wolf	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	35
Walcott	Vampire Weekend	"O2 Apollo Manchester, Manchester, England"	Dec	1	2024	36
Hold You Now	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	1
Campus	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	3
Ice Cream Piano	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	4
Classical	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	5
Connect	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	6
White Sky	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	7
Unbelievers	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	8
This Life	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	9
Sympathy	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	10
New Dorp. New York	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	11
The Surfer	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	12
Ottoman	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	13
Oxford Comma	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	14
Capricorn	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	15
Gen-X Cops	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	16
Diane Young	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	17
Cousins	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	18
A-Punk	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	19
Prep-School Gangsters	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	20
Mary Boone	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	21
Harmony Hall	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	22
Hope	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	23
Allison	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	24
Scenes From an Italian Restaurant	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	25
Hotel Yorba	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	26
The Way It Is	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	27
"Jesus, Etc."	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	28
Brown Eyed Girl	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	29
Hannah Hunt	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	30
Valerie	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	31
Fairytale of New York	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	32
Happy Birthday to You	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	33
Worship You	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	34
Ya Hey	Vampire Weekend	"3Arena, Dublin, Ireland"	Nov	29	2024	35
Gen-X Cops	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	1
Classical	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	2
Capricorn	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	3
Mary Boone	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	4
Hannah Hunt	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	5
Jokerman	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	6
Ya Hey	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	7
Amarillo by Morning	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	8
Arrows	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	9
Pink Pony Club	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	10
Iron Man	Vampire Weekend	"Clive Davis Theater at the Grammy Museum, Los Angeles, CA, USA"	Oct	21	2024	11
Mansard Roof	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	1
Holiday	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	2
Boston (Ladies of Cambridge)	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	3
Ice Cream Piano	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	4
Classical	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	5
Connect	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	6
Cape Cod Kwassa Kwassa	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	7
Step	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	8
This Life	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	9
Sympathy	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	10
New Dorp. New York	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	11
Pravda	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	12
Horchata	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	13
Campus	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	14
Oxford Comma	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	15
Capricorn	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	16
Gen-X Cops	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	17
Diane Young	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	18
Cousins	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	19
A-Punk	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	20
Mountain Brews	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	21
Mary Boone	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	22
Hannah Hunt	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	23
Harmony Hall	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	24
Hope	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	25
No Rain	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	26
Can't Take My Eyes Off You	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	27
Bulls on Parade	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	28
Moondance	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	29
The Surfer	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	30
Big Blue	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	31
Like a Rolling Stone	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	32
Hotel California	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	33
Me and Julio Down by the Schoolyard	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	34
Amarillo by Morning	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	35
La Grange	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	36
Song 2	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	37
Walcott	Vampire Weekend	"Moody Center, Austin, TX, USA"	Oct	17	2024	38
Holiday	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	1
Oxford Comma	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	3
Ice Cream Piano	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	4
Classical	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	5
Connect	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	6
White Sky	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	7
Step	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	8
This Life	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	9
Sunflower	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	10
Run	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	11
Pravda	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	12
Sympathy	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	13
Campus	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	14
Capricorn	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	15
Gen-X Cops	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	16
Diane Young	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	17
Cousins	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	18
A-Punk	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	19
A-Punk	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	20
Married in a Gold Rush / All the Gold in California / Sin City / Cumberland Blues / Possum	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	21
Prep-School Gangsters	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	22
Mary Boone	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	23
Harmony Hall	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	24
Hope	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	25
I Won't Back Down	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	26
Time to Say Goodbye (Con te partirò)	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	27
Beast of Burden	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	28
Happy Birthday to You	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	29
Money	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	30
Margaritaville	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	31
Dancing in the Moonlight	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	32
Ya Hey	Vampire Weekend	"St. Augustine Amphitheatre, St. Augustine, FL, USA"	Oct	15	2024	33
Oxford Comma	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	1
Campus	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	2
Bryn	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	3
Ice Cream Piano	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	4
Classical	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	5
Connect	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	6
Cape Cod Kwassa Kwassa	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	7
Step	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	8
This Life	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	9
Sunflower	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	10
Sympathy	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	11
The Surfer	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	12
Giving Up the Gun	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	13
Capricorn	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	14
Gen-X Cops	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	15
Diane Young	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	16
Cousins	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	17
A-Punk	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	18
Mountain Brews	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	19
Mary Boone	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	20
Hannah Hunt	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	21
Harmony Hall	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	22
Hope	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	23
Lovefool	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	24
Last Nite	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	25
Hey Ya!	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	26
Ring of Fire	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	27
Losing My Religion	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	28
Back in the High Life Again	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	29
Love Shack	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	30
Message in a Bottle	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	31
Every Breath You Take	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	32
Iron Man	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	33
Walcott	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	34
SNL Closing Theme (A Waltz in A) / Flower Moon	Vampire Weekend	"Cadence Bank Amphitheatre at Chastain Park, Atlanta, GA, USA"	Oct	12	2024	35
Cousins	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	1
Holiday	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	2
One (Blake's Got a New Face)	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	3
Ice Cream Piano	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	4
Classical	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	5
Connect	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	6
White Sky	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	7
Unbelievers	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	8
This Life	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	9
Sunflower	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	10
Sympathy	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	11
New Dorp. New York	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	12
Pravda	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	13
Campus	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	14
Oxford Comma	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	15
Capricorn	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	16
Gen-X Cops	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	17
Diane Young	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	18
A-Punk	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	19
Prep-School Gangsters	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	20
Mary Boone	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	21
Harmony Hall	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	22
Hope	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	23
Man of Constant Sorrow	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	24
Ramblin' Man	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	25
I'm Gonna Be (500 Miles)	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	26
Seinfeld Theme	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	27
All Star	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	28
Wonderful Christmastime	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	29
Kokomo	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	30
Many Men (Wish Death)	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	31
Take On Me	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	32
Sunday Morning	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	33
Vienna	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	34
My Way	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	35
Walcott	Vampire Weekend	"Ascend Amphitheater, Nashville, TN, USA"	Oct	11	2024	36
Hold You Now	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	1
Holiday	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	2
Boston (Ladies of Cambridge)	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	3
Ice Cream Piano	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	4
Classical	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	5
Connect	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	6
Unbelievers	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	7
Cape Cod Kwassa Kwassa	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	8
This Life	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	9
Sympathy	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	10
New Dorp. New York	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	11
Pravda	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	12
Bambina	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	13
Campus	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	14
Oxford Comma	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	15
Capricorn	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	16
Gen-X Cops	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	17
Diane Young	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	18
Cousins	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	19
A-Punk	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	20
Prep-School Gangsters	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	21
Mary Boone	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	22
Harmony Hall	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	23
Hope	Vampire Weekend	"Red Hat Amphitheater, Raleigh, NC, USA"	Oct	9	2024	24
